date,open,max,min,close,x,y
2009.12.01,1179.40000,1201.32000,1175.23000,1195.23000,3636,0
2009.12.02,1195.65000,1216.90000,1195.30000,1215.10000,2376,0
2009.12.03,1215.15000,1226.37000,1204.28000,1207.60000,3664,0
2009.12.04,1207.80000,1212.24000,1147.32000,1160.82000,8287,0
2009.12.07,1159.43000,1164.62000,1135.53000,1157.70000,5646,0
2009.12.08,1158.10000,1168.47000,1124.32000,1128.10000,5831,0
2009.12.09,1128.25000,1146.85000,1116.75000,1128.20000,6016,0
2009.12.10,1128.15000,1136.49000,1120.90000,1129.90000,2944,0
2009.12.11,1130.49000,1142.13000,1109.36000,1115.10000,5016,0
2009.12.14,1114.20000,1127.33000,1110.62000,1126.80000,2083,0
2009.12.15,1126.62000,1128.99000,1111.32000,1123.10000,3183,0
2009.12.16,1123.50000,1141.02000,1121.33000,1137.84000,2505,0
2009.12.17,1138.18000,1141.51000,1094.71000,1097.29000,5272,0
2009.12.18,1097.88000,1116.40000,1096.83000,1112.98000,2405,0
2009.12.21,1110.28000,1119.32000,1090.00000,1091.90000,4027,0
2009.12.22,1091.70000,1097.14000,1074.48000,1083.95000,3758,0
2009.12.23,1083.23000,1095.67000,1079.15000,1087.35000,2893,0
2009.12.24,1087.50000,1105.68000,1087.39000,1105.15000,1894,0
2009.12.28,1107.70000,1113.40000,1101.20000,1107.89000,2422,0
2009.12.29,1107.35000,1108.09000,1096.20000,1096.25000,1269,0
2009.12.30,1096.53000,1097.92000,1085.99000,1093.10000,2044,0
2009.12.31,1093.75000,1106.72000,1092.10000,1098.30000,2470,0
2010.01.04,1097.45000,1124.00000,1093.08000,1121.05000,3825,0
2010.01.05,1121.20000,1128.85000,1115.40000,1117.65000,2336,0
2010.01.06,1117.35000,1140.65000,1116.40000,1138.35000,2751,0
2010.01.07,1138.50000,1139.20000,1128.60000,1131.45000,1416,0
2010.01.08,1129.15000,1139.70000,1119.80000,1138.25000,3071,0
2010.01.11,1138.40000,1161.65000,1138.40000,1151.30000,3361,0
2010.01.12,1150.96000,1158.03000,1125.43000,1128.18000,4243,0
2010.01.13,1131.15000,1138.66000,1118.73000,1137.72000,3330,0
2010.01.14,1137.53000,1146.03000,1130.94000,1144.21000,2351,0
2010.01.15,1144.50000,1145.65000,1126.71000,1130.98000,2437,0
2010.01.18,1130.19000,1137.18000,1127.43000,1133.20000,1650,0
2010.01.19,1134.08000,1140.57000,1128.65000,1138.11000,1982,0
2010.01.20,1133.20000,1141.30000,1107.03000,1111.75000,4710,0
2010.01.21,1112.85000,1117.43000,1088.45000,1094.23000,3935,0
