date,open,max,min,close
01.12.2009,1179.40000,1201.32000,1175.23000,1195.23000
02.12.2009,1195.65000,1216.90000,1195.30000,1215.10000
03.12.2009,1215.15000,1226.37000,1204.28000,1207.60000
04.12.2009,1207.80000,1212.24000,1147.32000,1160.82000
05.12.2009,1159.43000,1164.62000,1135.53000,1157.70000
06.12.2009,1158.10000,1168.47000,1124.32000,1128.10000
07.12.2009,1128.25000,1146.85000,1116.75000,1128.20000
08.12.2009,1128.15000,1136.49000,1120.90000,1129.90000
09.12.2009,1130.49000,1142.13000,1109.36000,1115.10000
10.12.2009,1114.20000,1127.33000,1110.62000,1126.80000
11.12.2009,1126.62000,1128.99000,1111.32000,1123.10000
12.12.2009,1123.50000,1141.02000,1121.33000,1137.84000
13.12.2009,1138.18000,1141.51000,1094.71000,1097.29000
14.12.2009,1097.88000,1116.40000,1096.83000,1112.98000
15.12.2009,1110.28000,1119.32000,1090.00000,1091.90000
16.12.2009,1091.70000,1097.14000,1074.48000,1083.95000
17.12.2009,1083.23000,1095.67000,1079.15000,1087.35000
18.12.2009,1087.50000,1105.68000,1087.39000,1105.15000
19.12.2009,1107.70000,1113.40000,1101.20000,1107.89000
20.12.2009,1107.35000,1108.09000,1096.20000,1096.25000
21.12.2009,1096.53000,1097.92000,1085.99000,1093.10000
22.12.2009,1093.75000,1106.72000,1092.10000,1098.30000
23.12.2009,1097.45000,1124.00000,1093.08000,1121.05000
24.12.2009,1121.20000,1128.85000,1115.40000,1117.65000
25.12.2009,1117.35000,1140.65000,1116.40000,1138.35000
26.12.2009,1138.50000,1139.20000,1128.60000,1131.45000
27.12.2009,1129.15000,1139.70000,1119.80000,1138.25000
28.12.2009,1138.40000,1161.65000,1138.40000,1151.30000
29.12.2009,1150.96000,1158.03000,1125.43000,1128.18000
30.12.2009,1131.15000,1138.66000,1118.73000,1137.72000
31.12.2009,1137.53000,1146.03000,1130.94000,1144.21000
01.01.2010,1144.50000,1145.65000,1126.71000,1130.98000
02.01.2010,1130.19000,1137.18000,1127.43000,1133.20000
03.01.2010,1134.08000,1140.57000,1128.65000,1138.11000
